ghsa,cve,severity,cvss,cvss_version,cvss_source,published,global_published,globally_indexed,repo,project_id,org,role,co_credited,summary,advisory_url,cve_url,class,ecosystem,cwe,last_checked,tldr,fixed_in,fix_pr
GHSA-88gm-j2wx-58h6,CVE-2026-41321,low,2.2,3.1,maintainer advisory,2026-04-20,2026-04-23,yes,withastro/astro,withastro/astro,withastro,reporter,,SSRF via redirect following in Cloudflare image-binding-transform endpoint (incomplete fix for GHSA-qpr4),https://github.com/withastro/astro/security/advisories/GHSA-88gm-j2wx-58h6,https://www.cve.org/CVERecord?id=CVE-2026-41321,SSRF,JavaScript,CWE-918,2026-09-06,The Cloudflare image-binding transform checked only the initial remote-image URL and followed redirects. An open redirect on an allowed domain could bypass image-domain restrictions and trigger blind requests to destinations outside that allowlist.,@astrojs/cloudflare: 13.1.10,
GHSA-73h3-mf4w-8647,CVE-2026-41140,low,0.6,4.0,GitHub global database,2026-04-18,2026-04-22,yes,python-poetry/poetry,python-poetry/poetry,python-poetry,reporter,radoering (remediation_reviewer),Path traversal in tar extraction on Python 3.10.0 - 3.10.12 and 3.11.0 - 3.11.4,https://github.com/python-poetry/poetry/security/advisories/GHSA-73h3-mf4w-8647,https://www.cve.org/CVERecord?id=CVE-2026-41140,Path traversal,Python,CWE-22,2026-09-06,"On Python versions lacking tarfile’s data filter, Poetry extracted source distributions without traversal protection. Crafted archive members could escape the extraction directory during dependency resolution; the advisory rates this low because package build backends already execute code.",poetry: 2.3.4,
GHSA-4jjr-vmv7-wh4w,CVE-2026-41175,high,8.1,3.1,maintainer advisory,2026-04-15,2026-04-16,yes,statamic/cms,statamic/cms,statamic,reporter,joshuaalwin (reporter),Unsafe method invocation via query value resolution allows data destruction,https://github.com/statamic/cms/security/advisories/GHSA-4jjr-vmv7-wh4w,https://www.cve.org/CVERecord?id=CVE-2026-41175,Unsafe method invocation,PHP,CWE-470,2026-09-06,Query values could resolve into destructive method calls. Minimal Control Panel permissions could enable data deletion; unauthenticated exposure required REST or GraphQL to be explicitly enabled without authentication and with the affected resources exposed.,"statamic/cms: 5.73.20, 6.13.0",
GHSA-gqw4-4w2p-838q,CVE-2026-40261,high,8.8,3.1,maintainer advisory,2026-04-14,2026-04-14,yes,composer/composer,composer/composer,composer,reporter,,Command injection via malicious Perforce source reference/url,https://github.com/composer/composer/security/advisories/GHSA-gqw4-4w2p-838q,https://www.cve.org/CVERecord?id=CVE-2026-40261,Command injection,PHP,CWE-20;CWE-78,2026-09-06,"Perforce package references and connection parameters entered shell commands without escaping. A repository supplying malicious Perforce source metadata could execute commands during source-preferred Composer installs, even when the Perforce client was not installed.",composer/composer: 2.9.6; composer/composer: 2.2.27,
GHSA-c5c4-8r6x-56w3,CVE-2026-40574,medium,6.8,3.1,maintainer advisory,2026-04-14,2026-04-15,yes,oauth2-proxy/oauth2-proxy,oauth2-proxy/oauth2-proxy,oauth2-proxy,reporter,,Authorization Bypass in Email Domain Validation via Malformed Multi-@ Email Claims,https://github.com/oauth2-proxy/oauth2-proxy/security/advisories/GHSA-c5c4-8r6x-56w3,https://www.cve.org/CVERecord?id=CVE-2026-40574,Authorization bypass,Go,CWE-20,2026-09-06,"Email-domain validation accepted malformed claims containing multiple at signs, allowing an unintended domain suffix to match the allowlist. Exploitation required an identity provider capable of emitting such malformed claims; providers enforcing email syntax were unaffected.",: > 7.15.1,
GHSA-4x48-cgf9-q33f,,high,0.0,4.0,GitHub global database,2026-04-13,2026-04-14,yes,novuhq/novu,novuhq/novu,novuhq,reporter,,SSRF via conditions filter webhook bypasses validateUrlSsrf() protection,https://github.com/novuhq/novu/security/advisories/GHSA-4x48-cgf9-q33f,,SSRF,JavaScript,CWE-918,2026-09-06,Conditions-filter webhooks bypassed the URL checks used by the HTTP Request step. A user with workflow-configuration access could issue server-side POST requests to internal endpoints and read responses through execution details.,@novu/api: >= 3.15.0; @novu/worker: >= 3.15.0,
GHSA-r2pg-r6h7-crf3,CVE-2026-34984,high,7.1,4.0,GitHub global database,2026-04-11,2026-04-13,yes,external-secrets/external-secrets,external-secrets/external-secrets,external-secrets,reporter,,DNS-based secret exfiltration via getHostByName in External Secrets v2 template engine,https://github.com/external-secrets/external-secrets/security/advisories/GHSA-r2pg-r6h7-crf3,https://www.cve.org/CVERecord?id=CVE-2026-34984,Data exfiltration,Go,,2026-09-06,"The template engine exposed getHostByName inside the controller process. A user able to author templated ExternalSecret resources could encode accessible secrets into DNS lookups; exploitation required outbound DNS from the controller, not direct egress from the attacker’s workload.",github.com/external-secrets/external-secrets: 2.3.0,
GHSA-r854-jrxh-36qx,CVE-2026-40194,low,0.0,4.0,GitHub global database,2026-04-10,2026-04-10,yes,phpseclib/phpseclib,phpseclib/phpseclib,phpseclib,reporter,,Variable-time HMAC comparison in SSH2::get_binary_packet() uses != instead of hash_equals(),https://github.com/phpseclib/phpseclib/security/advisories/GHSA-r854-jrxh-36qx,https://www.cve.org/CVERecord?id=CVE-2026-40194,Timing side-channel,PHP,CWE-208,2026-09-06,"SSH packet authentication compared HMACs with a variable-time operator instead of hash_equals. The timing difference is a defense-in-depth concern: authentication failure disconnects and rekeys the session, and the advisory does not establish a practical remote exploit.",phpseclib/phpseclib: 3.0.51; phpseclib/phpseclib: 2.0.53; phpseclib/phpseclib: 1.0.28,
GHSA-3crg-w4f6-42mx,CVE-2026-40260,medium,6.9,4.0,GitHub global database,2026-04-10,2026-04-10,yes,py-pdf/pypdf,py-pdf/pypdf,py-pdf,reporter,stefan6419846 (analyst),Manipulated XMP metadata entity declarations can exhaust RAM,https://github.com/py-pdf/pypdf/security/advisories/GHSA-3crg-w4f6-42mx,https://www.cve.org/CVERecord?id=CVE-2026-40260,Resource exhaustion,Python,CWE-776,2026-09-06,"PDF XMP parsing processed entity declarations without effective expansion limits. A crafted document could exhaust application memory, but merely opening a PDF was insufficient unless the consuming application also parsed its XMP metadata.",pypdf: >= 6.10.0,
GHSA-w95v-4h65-j455,CVE-2026-40107,high,8.7,4.0,GitHub global database,2026-04-09,2026-04-10,yes,siyuan-note/siyuan,siyuan-note/siyuan,siyuan-note,reporter,,Zero-Click NTLM Hash Theft and Blind SSRF via Mermaid Diagram Rendering,https://github.com/siyuan-note/siyuan/security/advisories/GHSA-w95v-4h65-j455,https://www.cve.org/CVERecord?id=CVE-2026-40107,SSRF,JavaScript,CWE-918,2026-09-06,"Mermaid rendering allowed embedded image URLs to survive sanitization. Opening a crafted note triggered requests; on Windows, a network-share URL could additionally expose the user’s NTLMv2 challenge-response hash through automatic authentication.",siyuan: v3.6.4,
GHSA-5f5r-95pg-xrpm,CVE-2026-40077,low,3.5,3.1,maintainer advisory,2026-04-09,2026-04-10,yes,henrygd/beszel,henrygd/beszel,henrygd,reporter,marduc812 (reporter);lakshayyverma (reporter),IDOR in hub API endpoints that read system ID from URL parameter,https://github.com/henrygd/beszel/security/advisories/GHSA-5f5r-95pg-xrpm,https://www.cve.org/CVERecord?id=CVE-2026-40077,IDOR,Go,CWE-184,2026-09-06,Several hub endpoints checked authentication but not membership of the requested system. Cross-system container access required both a valid 15-character system ID and 12-character container ID; other affected endpoints could disclose system information or trigger SMART refreshes., github.com/henrygd/beszel: >= 0.18.7,
GHSA-hfvc-g4fc-pqhx,CVE-2026-39883,high,7.3,4.0,GitHub global database,2026-04-08,2026-04-08,yes,open-telemetry/opentelemetry-go,open-telemetry/opentelemetry-go,open-telemetry,reporter,dmathieu (remediation_developer),Incomplete fix for GHSA-9h8m-3fm2-qjrq: BSD kenv command not using absolute path enables PATH hijacking,https://github.com/open-telemetry/opentelemetry-go/security/advisories/GHSA-hfvc-g4fc-pqhx,https://www.cve.org/CVERecord?id=CVE-2026-39883,Logic flaw,Go,CWE-426,2026-09-06,"Host-ID lookup invoked kenv by name instead of an absolute path. On affected BSD and Solaris paths, a local attacker controlling an earlier PATH directory could run a replacement executable inside the OpenTelemetry-using process.",go.opentelemetry.io/otel/sdk: 1.43.0,
GHSA-w6c6-c85g-mmv6,CVE-2026-39395,medium,4.3,3.1,maintainer advisory,2026-04-06,2026-04-08,yes,sigstore/cosign,sigstore/cosign,sigstore,reporter,,verify-blob-attestation reports false positive when payload parsing fails,https://github.com/sigstore/cosign/security/advisories/GHSA-w6c6-c85g-mmv6,https://www.cve.org/CVERecord?id=CVE-2026-39395,Verification bypass,Go,,2026-09-06,"Attestation verification mishandled predicate-type and payload-parsing failures across bundle formats. Without check-claims enabled, a valid signature over an unparsable payload or mismatched predicate type could still produce a successful verification result.","github.com/sigstore/cosign: v3.0.6, v2.6.3",
GHSA-qmwh-9m9c-h36m,,high,8.8,4.0,GitHub global database,2026-04-06,2026-04-07,yes,gotenberg/gotenberg,gotenberg/gotenberg,gotenberg,reporter,,Incomplete fix for ExifTool arbitrary file write: case-insensitive bypass and missing HardLink/SymLink tags,https://github.com/gotenberg/gotenberg/security/advisories/GHSA-qmwh-9m9c-h36m,,Policy subversion,Go,CWE-73;CWE-178,2026-09-06,"The ExifTool metadata filter was case-sensitive and omitted hard-link and symbolic-link tags. Callers of the metadata-write endpoint, unauthenticated by default, could write files or links outside intended paths, within the service’s filesystem permissions.",github.com/gotenberg/gotenberg/v8: 8.30.0,
GHSA-v9w4-gm2x-6rvf,CVE-2026-35604,high,8.2,4.0,GitHub global database,2026-04-04,2026-04-08,yes,filebrowser/filebrowser,filebrowser/filebrowser,filebrowser,reporter,,Share links remain accessible after Share/Download permissions are revoked,https://github.com/filebrowser/filebrowser/security/advisories/GHSA-v9w4-gm2x-6rvf,https://www.cve.org/CVERecord?id=CVE-2026-35604,Permission inheritance,Go,CWE-863,2026-09-06,"Public share access did not recheck the owner’s Share and Download permissions. Existing links remained downloadable after an administrator revoked those permissions, even though the same account could no longer create new shares.",github.com/filebrowser/filebrowser/v2: 2.63.1,filebrowser/filebrowser#5888
GHSA-7526-j432-6ppp,CVE-2026-35607,medium,0.0,4.0,GitHub global database,2026-04-04,2026-04-08,yes,filebrowser/filebrowser,filebrowser/filebrowser,filebrowser,reporter,,Proxy auth auto-provisioned users inherit Execute permission and Commands,https://github.com/filebrowser/filebrowser/security/advisories/GHSA-7526-j432-6ppp,https://www.cve.org/CVERecord?id=CVE-2026-35607,Permission inheritance,Go,CWE-269,2026-09-06,"Proxy-authenticated accounts inherited default Execute permissions and configured commands, unlike ordinary signup accounts. Exposure required proxy authentication with command execution enabled and permissive administrator-configured defaults; the earlier signup fix did not cover auto-provisioning.",github.com/filebrowser/filebrowser/v2: 2.63.1,filebrowser/filebrowser#5890
GHSA-67cg-cpj7-qgc9,CVE-2026-35606,medium,5.3,4.0,GitHub global database,2026-04-04,2026-04-08,yes,filebrowser/filebrowser,filebrowser/filebrowser,filebrowser,reporter,,Text file content disclosure via /api/resources endpoint bypassing Perm.Download check,https://github.com/filebrowser/filebrowser/security/advisories/GHSA-67cg-cpj7-qgc9,https://www.cve.org/CVERecord?id=CVE-2026-35606,Information disclosure,Go,CWE-862,2026-09-06,The resource endpoint returned text content and raw encoded bytes without checking Download permission. An authenticated user with downloads disabled could still read files within their authorized scope; directory and path authorization remained in effect.,github.com/filebrowser/filebrowser/v2: 2.63.1,filebrowser/filebrowser#5891
GHSA-5q48-q4fm-g3m6,CVE-2026-35605,medium,6.3,4.0,GitHub global database,2026-04-04,2026-04-08,yes,filebrowser/filebrowser,filebrowser/filebrowser,filebrowser,reporter,,Access rule bypass via HasPrefix without trailing separator in path matching,https://github.com/filebrowser/filebrowser/security/advisories/GHSA-5q48-q4fm-g3m6,https://www.cve.org/CVERecord?id=CVE-2026-35605,Access control bypass,Go,CWE-22,2026-09-06,Access-rule matching used a string prefix without enforcing a directory boundary. An allow rule for one directory could also admit a sibling whose name shared that prefix; deny rules could over-match for the same reason.,github.com/filebrowser/filebrowser/v2: 2.63.1,filebrowser/filebrowser#5889
GHSA-x3f4-v83f-7wp2,,high,8.6,4.0,GitHub global database,2026-04-03,2026-04-06,yes,authorizerdev/authorizer,authorizerdev/authorizer,authorizerdev,reporter,,Password reset token theft and full auth token redirect via unvalidated redirect_uri (6 endpoints),https://github.com/authorizerdev/authorizer/security/advisories/GHSA-x3f4-v83f-7wp2,,Missing authorization,Go,CWE-601,2026-09-06,"Several authentication endpoints attached tokens to caller-supplied redirect URLs without checking AllowedOrigins. An attacker could capture reset, magic-link, or authentication tokens after the victim followed an emailed link leading through the affected flow.",,
GHSA-p5rh-vmhp-gvcw,CVE-2026-34976,critical,0.0,4.0,GitHub global database,2026-04-02,2026-04-02,yes,dgraph-io/dgraph,dgraph-io/dgraph,dgraph-io,reporter,,Pre-Auth Database Overwrite + SSRF + File Read via restoreTenant Missing Authorization (CVSS 10.0),https://github.com/dgraph-io/dgraph/security/advisories/GHSA-p5rh-vmhp-gvcw,https://www.cve.org/CVERecord?id=CVE-2026-34976,SSRF,Go,CWE-862,2026-09-06,"The restoreTenant mutation lacked its authorization middleware entry. Unauthenticated callers reaching the admin GraphQL endpoint could overwrite a namespace from a supplied backup, probe local filesystem paths, or trigger requests through a controlled vault address.","github.com/dgraph-io/dgraph/v25: v25.3.1, v24.1.6",
GHSA-fgv4-6jr3-jgfw,CVE-2026-35043,critical,0.0,4.0,GitHub global database,2026-04-02,2026-04-03,yes,bentoml/BentoML,bentoml/BentoML,bentoml,reporter,,Incomplete fix for CVE-2026-33744: command injection in cloud deployment setup script (deployment.py:1648),https://github.com/bentoml/BentoML/security/advisories/GHSA-fgv4-6jr3-jgfw,https://www.cve.org/CVERecord?id=CVE-2026-35043,Command injection,Python,CWE-78,2026-09-06,Cloud deployment script generation inserted system_packages from bentofile.yaml into a shell command without quoting. An attacker-controlled package entry could execute commands during the BentoCloud build; an earlier local-path quoting fix missed this cloud-specific path.,bentoml: 1.4.38,
GHSA-7gvf-3w72-p2pg,CVE-2026-35459,high,9.3,4.0,GitHub global database,2026-04-02,2026-04-04,yes,pyload/pyload,pyload/pyload,pyload,reporter,,"SSRF fix bypass via HTTP redirect: CVE-2026-33992 filter validates only initial URL, pycurl follows redirects to internal hosts",https://github.com/pyload/pyload/security/advisories/GHSA-7gvf-3w72-p2pg,https://www.cve.org/CVERecord?id=CVE-2026-35459,SSRF,Python,CWE-918,2026-09-06,The downloader validated its initial destination but followed redirects without rechecking targets. An authenticated user with ADD permission could fetch internal services or reachable metadata endpoints; returned data was written into the download storage folder.,pyload-ng: pyload-ng 0.5.0b3.dev97,
GHSA-4744-96p5-mp2j,CVE-2026-35464,critical,0.0,4.0,GitHub global database,2026-04-02,2026-04-04,yes,pyload/pyload,pyload/pyload,pyload,reporter,,Incomplete fix for CVE-2026-33509: unprotected storage_folder enables arbitrary file write to Flask session store and code execution,https://github.com/pyload/pyload/security/advisories/GHSA-4744-96p5-mp2j,https://www.cve.org/CVERecord?id=CVE-2026-35464,Arbitrary file write,Python,CWE-502;CWE-863,2026-09-06,Non-admin users with SETTINGS and ADD permissions could point storage_folder at Flask’s session store and download a crafted serialized session. A subsequent request using that session cookie could execute code in the web process.,,
GHSA-x3ff-w252-2g7j,,medium,0.0,4.0,GitHub global database,2026-03-30,2026-04-01,yes,StableLib/stablelib,StableLib/stablelib,StableLib,reporter,,Ed25519 Signature Malleability via Missing S < L Check,https://github.com/StableLib/stablelib/security/advisories/GHSA-x3ff-w252-2g7j,,Signature malleability,JavaScript,CWE-347,2026-09-06,"Ed25519 verification did not enforce the scalar range required for a canonical signature. Anyone holding a valid signature could derive a second valid encoding without the signing key, affecting applications that rely on signature uniqueness.",,
GHSA-c9v3-4c59-x5q2,CVE-2026-34443,high,6.9,4.0,CVE CNA record,2026-03-30,,no,freescout-help-desk/freescout,freescout-help-desk/freescout,freescout-help-desk,reporter,,SSRF protection bypass via broken CIDR check in checkIpByMask(),https://github.com/freescout-help-desk/freescout/security/advisories/GHSA-c9v3-4c59-x5q2,https://www.cve.org/CVERecord?id=CVE-2026-34443,SSRF,PHP,CWE-918,2026-09-06,"The SSRF address check returned early for ordinary IP addresses, leaving configured CIDR blocks unenforced. An inbound email containing controlled attachment URLs could cause the server to request private-network destinations that the policy intended to block.",freescout-helpdesk/freescout: 1.8.211,
GHSA-6wc5-rhvj-cx7f,CVE-2026-34759,critical,9.2,4.0,CVE CNA record,2026-03-30,,no,OneUptime/oneuptime,OneUptime/oneuptime,OneUptime,reporter,,"Unauthenticated notification API endpoints: financial abuse via phone number purchase, service disruption, and SMTP credential exposure",https://github.com/OneUptime/oneuptime/security/advisories/GHSA-6wc5-rhvj-cx7f,https://www.cve.org/CVERecord?id=CVE-2026-34759,Missing authentication,JavaScript,CWE-862,2026-09-06,"Notification phone-number routes omitted service authorization and performed privileged operations. Using a project ID exposed by the status-page API, an unauthenticated caller could purchase Twilio numbers on the deployment’s account or release numbers used for alerts.",oneuptime: 10.0.40,
GHSA-frv4-x25r-588m,CVE-2026-34172,high,7.7,4.0,GitHub global database,2026-03-26,2026-03-27,yes,Giskard-AI/giskard-oss,Giskard-AI/giskard-oss,Giskard-AI,reporter,,Server-side template injection via ChatWorkflow.chat() using non-sandboxed Jinja2 Environment,https://github.com/Giskard-AI/giskard-oss/security/advisories/GHSA-frv4-x25r-588m,https://www.cve.org/CVERecord?id=CVE-2026-34172,Template injection,Python,CWE-1336,2026-09-06,ChatWorkflow.chat treated plain-string input as a Jinja2 template in an unsandboxed environment. Applications passing untrusted input directly to that method could expose command execution; values supplied through with_inputs did not take the vulnerable template-compilation path.,giskard-agents: 0.3.4; giskard-agents: 1.0.2b1,
GHSA-f359-r3pv-2phf,CVE-2026-33766,medium,5.3,4.0,GitHub global database,2026-03-24,2026-03-26,yes,WWBN/AVideo,WWBN/AVideo,WWBN,reporter,,SSRF Protection Bypass via HTTP Redirect in Image Download Endpoints,https://github.com/WWBN/AVideo/security/advisories/GHSA-f359-r3pv-2phf,https://www.cve.org/CVERecord?id=CVE-2026-33766,SSRF,JavaScript,CWE-918,2026-09-06,Image-download endpoints validated the starting URL but followed HTTP redirects without checking their destinations. A user with upload and edit permissions could redirect the server to internal services or reachable cloud metadata endpoints.,,
